"","Union","R0","prop_imported","source_score","incidence_reduction"
"1",20030431,5.538852873628,0.0101366420764708,60.7902952935111,0.13584141491942
"2",20030463,5.1796688687134,0.0256941166831807,9.06144172594806,0.0798723585381983
"3",20031415,2.38260983251768,0.454078883252295,0.0133265980146786,0.00287276877346865
"4",20031431,5.79760433712824,0.0705132606878552,0.0644201948175156,0.00308975998136685
"5",20031447,5.7633767772601,0.021449364591976,1.71462150459885,0.0129243092316903
"6",20031463,5.98620105724201,0.0603113343620126,1.91018634701273,0.0149744496409423
"7",20031479,7.05329535550085,0.0129816363164357,4.23330003111938,0.0204724089511102
"8",20031499,4.03946840437007,0.199439257816256,2.2045481029329,0.0260530539961927
"9",20035115,6.76021117068716,0.134191232759632,0.915174108194675,0.0135758253401669
"10",20035127,6.51754354308785,0.136676542122184,0.528685037941105,0.0100689611758255
"11",20035131,6.03337140525822,0.0231880267524971,9.60936419989327,0.0363867127579631
"12",20035147,6.50173474321374,0.00723706397513723,27.8387426480949,0.0539100784144753
"13",20035163,7.12362983580299,0.0127447945576181,20.3369204585495,0.120955363928467
"14",20035168,5.76027972507805,0.0115002012893077,11.7600293045222,0.0444230898819413
"15",20035179,6.40745925457887,0.0097781516307038,26.9141817700105,0.0547361707730548
"16",20035199,3.8730353898409,0.442558970109813,0.434912396667019,0.0146030360196563
"17",20037319,5.41485675513735,0.0414395896470258,0.638457457120167,0.0246187996725836
"18",20037338,5.76314154136067,0.00277473497570388,10.0981186042377,0.0317372460864295
"19",20037357,5.63587596031553,0.0247649802703235,0.539483873075025,0.00985293808951138
"20",20037376,5.11367032194446,0.0490417032640472,0.674139032088019,0.0241115537655069
"21",20038919,7.60470968254197,0.0120611583706728,16.611816003036,0.0514597769559761
"22",20038938,7.89824531139178,0.0127835871361491,12.649300040481,0.0471119490567685
"23",20038957,6.2158266448516,0.0147382229215571,11.3133280725822,0.0407368573423504
"24",20038976,6.36280255105109,0.0502716417362588,5.62275721189936,0.067979111466168
"25",20039119,6.35545441569229,0.0704270091837752,3.91223824061975,0.0721746864589659
"26",20039138,6.06654846420094,0.0160348091231655,2.51913349370653,0.0178789538460143
"27",20039157,6.33946045754602,0.0142627765119914,3.4613415705704,0.0216167639182256
"28",20039176,4.35732745430525,0.162878576395683,0.377198674498356,0.0257470862293188
"29",20039519,7.18611712659816,0.0567070955118712,5.03479966683792,0.0429568000054347
"30",20039538,5.54479629368165,0.000560554536244181,16.2478517880327,0.0473095781390274
"31",20039557,6.60498640969305,0.00769373583540947,49.522419505461,0.106046814978037
"32",20039576,6.22310591106479,0.00725149009104565,9.11370289339213,0.0423939809920018
"33",20150415,4.96637245581447e-10,0.999999999837853,3.18811801425655e-14,-4.30766533554561e-13
"34",20150419,4.96637245581447e-10,0.999999999868322,1.71854901663395e-14,-2.1538326677728e-13
"35",20150428,4.96637245581447e-10,0.999999999864243,1.60166257804715e-14,-2.1449508835758e-13
"36",20150438,4.96637245581447e-10,0.999999999867362,6.97752759976618e-15,-2.16493489801906e-13
"37",20150447,4.96637245581447e-10,0.999999999840914,4.86316418919032e-15,-4.19664303308309e-13
"38",20150457,4.96637245581447e-10,0.999999999857615,2.11655664258752e-14,-3.21520587931445e-13
"39",20150466,4.96637245581447e-10,0.99999999985954,6.75357535185706e-15,-3.23296944770846e-13
"40",20150476,4.96637245581447e-10,0.999999999868292,1.12798319786582e-14,-3.1996627569697e-13
"41",20150481,4.96637245581447e-10,0.999999999830071,1.7512606503728e-15,-4.24327240011735e-13
"42",20150485,4.96637245581447e-10,0.999999999851309,8.48550584993215e-15,-3.2174263253637e-13
"43",20150495,4.96637245581447e-10,0.999999999867041,5.20950728738742e-15,-2.18935980456081e-13
"44",20150601,4.96637245581447e-10,0.999999999860989,0,-3.09974268475344e-13
"45",20150602,4.96637245581447e-10,0.999999999880546,0,-7.90478793533111e-14
"46",20150603,4.96637245581447e-10,0.999999999883186,0,-2.00062189037453e-13
"47",20150811,4.96637245581447e-10,0.999999999864763,0,-2.1405099914773e-13
"48",20150812,4.96637245581447e-10,0.999999999848767,1.75073538622393e-14,-5.27355936696949e-13
"49",20150818,4.96637245581447e-10,0.999999999851189,1.32822458033481e-13,-3.03090885722668e-13
"50",20150825,4.96637245581447e-10,0.999999999841879,3.7378821072402e-14,-4.13447054370408e-13
"51",20150831,4.96637245581447e-10,0.999999999853491,4.23994621475099e-14,-4.12336831345783e-13
"52",20150844,2.88506494858918,0.377896932726611,0.00501754725842766,0.000388713793618489
"53",20150850,4.96637245581447e-10,0.999999999864764,8.58367040925881e-14,-3.21076498721595e-13
"54",20150856,4.96637245581447e-10,0.999999999850414,2.39000384250728e-14,-3.16191517413245e-13
"55",20150863,1.86431734141445,0.510281176183897,0.0115957562918915,0.00140623020243602
"56",20150869,2.55003736009956,0.410244236153988,0.00274949692346314,0.000214299624621272
"57",20150875,4.96637245581447e-10,0.999999999854014,0,-3.1996627569697e-13
"58",20150882,4.96637245581447e-10,0.999999999868263,0,-2.1094237467878e-13
"59",20150888,4.96637245581447e-10,0.999999999828501,3.15109021347939e-15,-4.25659507641285e-13
"60",20150894,4.96637245581447e-10,0.999999999836117,2.45225200304664e-14,-6.20836715370388e-13
"61",20150899,4.96637245581447e-10,0.999999999865699,1.5843905127675e-13,-2.03170813506404e-13
"62",20151017,4.96637245581447e-10,0.999999999876686,0,-1.94955163124177e-13
"63",20151018,4.96637245581447e-10,0.99999999987054,0,-2.07611705604904e-13
"64",20151019,4.96637245581447e-10,0.999999999875982,0,-1.96065386148803e-13
"65",20151035,4.96637245581447e-10,0.999999999848487,0,-3.1952218648712e-13
